FOOD COMMODITY GROUP;FOOD COMMODITY TYPOLOGY;n;mean;median;st. dev. ;min;max;MAD;Q1;Q3;CV;IQR;LOWER FENCE;UPPER FENCE
AGRICULTURAL PROCESSED PRODUCTS;BEER*;3;166;155;103,6;45;298;110;100;226,5;0,6;126,5;-89,8;416,3
AGRICULTURAL PROCESSED PRODUCTS;BISCUITS;20;2168,6;1870,3;740,7;1167;3588,5;394,3;1669,8;2646,3;0,3;976,5;205;4111
AGRICULTURAL PROCESSED PRODUCTS;BREAD ;14;911,8;901,8;251,5;544;1387;236,7;696,6;1112,8;0,3;416,1;72,4;1736,9
AGRICULTURAL PROCESSED PRODUCTS;BREAKFAST CEREALS;2;2196,5;2196,5;219,5;1977;2416;219,5;2086,8;2306,3;0,1;219,5;1757,5;2635,5
AGRICULTURAL PROCESSED PRODUCTS;COCOA DERIVATES;4;22747,5;20717;7230,1;15618;33938;4310;16801,5;26663;0,3;9861,5;2009,3;41455,3
AGRICULTURAL PROCESSED PRODUCTS;COFFEE GROUND & PARCHMENT* (coffee roasted);2;19956;19956;1031;18925;20987;1031;19440,5;20471,5;0,1;1031;17894;22018
AGRICULTURAL PROCESSED PRODUCTS;COFFEE LIQUID;4;1040;960;366,6;640;1600;240;760;1240;0,4;480;40;1960
AGRICULTURAL PROCESSED PRODUCTS;CRACKERS;29;1094,3;1258;498,3;389;2107;443;614;1483;0,5;869;-689,5;2786,5
AGRICULTURAL PROCESSED PRODUCTS;CRISPBREAD*;6;1458,3;1423,3;175,7;1263,5;1764;129,3;1314,1;1554,1;0,1;240;954,1;1914,1
AGRICULTURAL PROCESSED PRODUCTS;DRESSING ;3;573;572;32,3;534;613;38;553;592,5;0,1;39,5;493,8;651,8
AGRICULTURAL PROCESSED PRODUCTS;EGG PASTA*;2;4636,8;4636,8;0,8;4636;4637,6;0,8;4636,4;4637,2;0;0,8;4635,2;4638,4
AGRICULTURAL PROCESSED PRODUCTS;JUICE ;5;874,9;1019;363,1;267;1273;254;675;1140,5;0,4;465,5;-23,3;1838,8
AGRICULTURAL PROCESSED PRODUCTS;GRAIN FLOUR;4;1843,8;1889,5;449,4;1167;2429;290;1678,5;2054,8;0,2;376,3;1114,1;2619,1
AGRICULTURAL PROCESSED PRODUCTS;JUICE CONCENTRATED* (tomato);1;1069;1069;-;1069;1069;-;1069;1069;-;-;1069;1069
AGRICULTURAL PROCESSED PRODUCTS;LEGUME FLOUR* (soy);1;2523;2523;-;2523;2523;-;2523;2523;-;-;2523;2523
AGRICULTURAL PROCESSED PRODUCTS;MARGARINE*;1;1324;1324;-;1324;1324;-;1324;1324;-;-;1324;1324
AGRICULTURAL PROCESSED PRODUCTS;OIL;11;8654,3;6792;5678,8;2575;21793;2602;4395,5;11915,3;0,7;7519,8;-6884,1;23194,9
AGRICULTURAL PROCESSED PRODUCTS;PASTA*;30;1651,1;1508,5;418,7;590;2517;181;1372,3;1957;0,3;584,8;495,1;2834,1
AGRICULTURAL PROCESSED PRODUCTS;PESTO ;2;2174;2174;75;2099;2249;75;2136,5;2211,5;0;75;2024;2324
AGRICULTURAL PROCESSED PRODUCTS;PROCESSED GRAINS (grouts, malt);8;2221,6;2133;883,8;1081;4189;353,5;1791;2461,8;0,4;670,8;784,9;3467,9
AGRICULTURAL PROCESSED PRODUCTS;STARCH;4;1718,3;1591,5;320,7;1436;2254;117,5;1493;1816,8;0,2;323,8;1007,4;2302,4
AGRICULTURAL PROCESSED PRODUCTS;STARCHY ROOT FLOUR;2;1657;1657;221;1436;1878;221;1546,5;1767,5;0,1;221;1215;2099
AGRICULTURAL PROCESSED PRODUCTS;SUGAR;4;1224,5;1294,5;542,2;527;1782;458,5;780,5;1738,5;0,4;958;-656,5;3175,5
AGRICULTURAL PROCESSED PRODUCTS;SWEETS;21;2645,2;2158;1338,3;1085,5;5804;746,5;1580;3468,5;0,5;1888,5;-1252,8;6301,3
AGRICULTURAL PROCESSED PRODUCTS;TOMATO PUREE, PEELED, CHOPPED;3;611,7;713;250,5;267;855;142;490;784;0,4;294;49;1225
AGRICULTURAL PROCESSED PRODUCTS;TOMATO SAUCE;2;151,3;151,3;3,8;147,5;155;3,8;149,4;153,1;0;3,8;143,8;158,8
AGRICULTURAL PROCESSED PRODUCTS;VEGETABLES CANNED* (corn);2;806,6;806,6;0,7;805,9;807,3;0,7;806,2;806,9;0;0,7;805,2;808
AGRICULTURAL PROCESSED PRODUCTS;VEGETABLES FROZEN;6;683,2;750,5;180,2;339;850;91,5;606,3;825,8;0,3;219,5;277;1155
AGRICULTURAL PROCESSED PRODUCTS;VEGETAL MILK* (Soy milk);2;2030;2030;1733,1;296,9;3763;1733,1;1163,4;2896,5;0,9;1733,1;-1436,2;5496,1
AGRICULTURAL PROCESSED PRODUCTS;VEGETAL PROTEINS ;3;1592,4;1724,5;397,9;1052,7;2000;275,5;1388,6;1862,3;0,2;473,7;678,1;2572,7
AGRICULTURAL PROCESSED PRODUCTS;WINE*;4;601;524;156,4;487;869;30,5;496,8;628,3;0,3;131,5;299,5;825,5
AGRICULTURAL PROCESSED PRODUCTS;YEAST COMPRESSED*;1;51;51;-;51;51;-;51;51;-;-;51;51
ANIMAL HUSBANDRY;BEEF BONE FREE MEAT*;25;16252,2;15139;6638;3856;26465;3717;13089;20852;0,4;7763;1444,5;32496,5
ANIMAL HUSBANDRY;BEEF CURED MEAT*;1;23799;23799;-;23799;23799;-;23799;23799;-;0;23799;23799
ANIMAL HUSBANDRY;BEEF MEAT WITH BONE*;1;10943;10943;-;10943;10943;-;10943;10943;-;0;10943;10943
ANIMAL HUSBANDRY;BUTTER*;18;5543,7;5659;2013,2;2686;9873;1569;3661,3;6867,8;0,4;3206,5;-1148,5;11677,5
ANIMAL HUSBANDRY;CHEESE;11;6108,9;5253;3043,9;2067;12139;1414,5;4449,3;7755;0,5;3305,8;-509,4;12713,6
ANIMAL HUSBANDRY;EDIBLE INSECTS*;1;4341;4341;-;4341;4341;-;4341;4341;-;-;4341;4341
ANIMAL HUSBANDRY;EGGS & DERIVATES;3;3374;3270;183,6;3220;3632;50;3245;3451;0,1;206;2936;3760
ANIMAL HUSBANDRY;EQUINE MEAT;4;51779;51779;0;51779;51779;0;51779;51779;0;0;51779;51779
ANIMAL HUSBANDRY;GOAT BONE FREE MEAT*;15;5224,8;4160;3642,7;1624;16188;1492;2784;6189;0,7;3405;-2323,5;11296,5
ANIMAL HUSBANDRY;LAMB BONE FREE MEAT*;1;10412;10412;0;10412;10412;0;10412;10412;0;0;10412;10412
ANIMAL HUSBANDRY;LAMB MEAT WITH BONE*;3;5235;4362;2438,7;2782;8561;1580;3572;6461,5;0,5;2889,5;-762,3;10795,8
ANIMAL HUSBANDRY;MILK;5;1581,7;1599;217,5;1213,3;1898;0;1599;1599;0,1;0;1599;1599
ANIMAL HUSBANDRY;MILK POWDER*;20;4738,1;4750;1632;2294;8436;1242,5;3303,5;5852;0,3;2548,5;-519,3;9674,8
ANIMAL HUSBANDRY;OFFAL, FAT, LIVER;12;4033,1;3152;2712,2;684;11155;585,5;3152;4323;0,7;1171;1395,5;6079,5
ANIMAL HUSBANDRY;PORK BONE FREE MEAT*;21;6820,4;6299;2311,9;4083;12271;1674;4940;7973;0,3;3033;390,5;12522,5
ANIMAL HUSBANDRY;PORK MEAT WITH BONE;4;5378,3;5677;589,4;4361;5798;60,5;5348;5707,3;0,1;359,3;4809,1;6246,1
ANIMAL HUSBANDRY;POULTRY BONE FREE MEAT;5;4252;4325;146;3960;4325;0;4325;4325;0;0;4325;4325
ANIMAL HUSBANDRY;POULTRY MEAT WITH BONE* (chicken);1;3330,3;3330,3;0;3330,3;3330,3;0;3330,3;3330,3;0;0;3330,3;3330,3
ANIMAL HUSBANDRY;SHEEP BONE FREE MEAT*;17;9256;8705;4216,7;2839;19813;2900;5805;11441;0,5;5636;-2649;19895
ANIMAL HUSBANDRY;YOGURT;3;1413;1540;268,2;1040;1659;119;1290;1599,5;0,2;309,5;825,8;2063,8
ANIMAL HUSBANDRY;PORK CURED MEAT;6;8233,3;6177;3587,2;5798;15600;379;5877,5;8947;0,4;3069,5;1273,3;13551,3
ANIMAL HUSBANDRY;SHEEP MEAT WITH BONE;2;8315;8315;5;8310;8320;5;8312,5;8317,5;0;5;8305;8325
CROPS;COFFEE (green);2;17912,5;17912,5;2015,5;15897;19928;2015,5;16904,8;18920,3;0,1;2015,5;13881,5;21943,5
CROPS;DRIED FRUIT;4;3553,3;2636,5;1919,9;2093;6847;373,5;2348;3841,8;0,5;1493,8;107,4;6082,4
CROPS;FRUIT ;39;1128,3;748;910,6;185,5;3793;335;479,5;1702;0,8;1222,5;-1354,3;3535,8
CROPS;GRAINS;8;2089,8;1618;1042,7;1191;4478;182,5;1521,3;2103;0,5;581,8;648,6;2975,6
CROPS;LEGUMES  FRESH;2;555,5;555,5;39,5;516;595;39,5;535,8;575,3;0,1;39,5;476,5;634,5
CROPS;LEGUMES DRIED;8;4164,7;4615;1867,2;1816,4;6906;1775;2008,3;5589;0,4;3580,8;-3362,9;10960,1
CROPS;NUTS SHELLED;8;13122,8;11264;4490,1;9063;23391;2146,3;10179,4;14687,3;0,3;4507,9;3417,6;21449,1
CROPS;NUTS WITH SHELL;5;4751;4918;1950,9;2750;8047;2136;2782;5258;0,4;2476;-932;8972
CROPS;SEEDS;8;3642,3;3087,5;2530,3;280;9371;858;2250,3;4055,8;0,7;1805,5;-458;6764
CROPS;SPICIES;18;61656,8;8280;165013,8;288;731000;6934,5;7426,5;34319;2,7;26892,5;-32912,3;74657,8
CROPS;STARCHY TUBERS;5;490,2;554,8;106;343;606;51,2;383;564;0,2;181;111,5;835,5
CROPS;SUGAR CROPS;2;171;171;39;132;210;39;151,5;190,5;0,2;39;93;249
CROPS;TEA;2;8856;8856;-;8856;8856;-;8856;8856;-;-;8856;8856
CROPS;VEGETABLES ;24;442,6;336;393,2;41,4;2150;60;283,8;436,8;0,9;153;54,3;666,3
CROPS;VEGETABLES DRIED;1;4276;4276;-;4276;4276;-;4276;4276;-;-;4276;4276
FISHING;FISH;20;3330,7;2313,5;3197,8;88;13420;508,3;2118,4;3032;1;913,6;747,9;4402,4
FISHING;SHELLFISH  ;2;1856;1856;118;1738;1974;118;1797;1915;0,1;118;1620;2092
